h,m,s,RA,d,arc m,arc s,DEC,F60,h,m,s,d,arc m,arc s,F100,T,"B(V,T)",M,
12,39,2.92,189.7621667,-41,14,52.6,-40.75205556,1.5985,12,39,2.92,-41,14,52.6,6.9001,23.90082155,9.66195E-16,4.06907E+26,0.040690703
12,39,2.25,189.759375,-41,16,22.6,-40.72705556,1.6352,12,39,2.25,-41,16,22.6,6.8624,24.06968032,1.00799E-15,3.87905E+26,0.038790461
12,39,1.9,189.7579167,-41,17,56.2,-40.70105556,1.7087,12,39,1.9,-41,17,56.2,6.9492,24.26066988,1.0567E-15,3.74704E+26,0.037470434
12,39,1.55,189.7564583,-41,19,26.1,-40.67608333,1.7233,12,39,1.55,-41,19,26.1,7.0674,24.20953521,1.04351E-15,3.85895E+26,0.038589519
12,39,1.2,189.755,-41,20,48.9,-40.65308333,1.6746,12,39,1.2,-41,20,48.9,7.1543,23.96245465,9.81312E-16,4.15398E+26,0.04153981
12,39,1.17,189.754875,-41,22,22.5,-40.62708333,1.6539,12,39,1.17,-41,22,22.5,7.169,23.87609406,9.60174E-16,4.25415E+26,0.042541539
12,39,0.82,189.7534167,-41,23,56.1,-40.60108333,1.6498,12,39,0.82,-41,23,56.1,7.1774,23.85442094,9.54917E-16,4.28258E+26,0.042825835
12,38,59.83,189.7492917,-41,25,22.5,-40.57708333,1.6601,12,38,59.83,-41,25,22.5,7.2575,23.82556296,9.47948E-16,4.36221E+26,0.043622127
12,38,56.94,189.73725,-41,10,22.3,-40.82713889,1.7369,12,38,56.94,-41,10,22.3,7.5887,23.82910657,9.48802E-16,4.55718E+26,0.045571796
12,38,55.96,189.7331667,-41,11,48.7,-40.80313889,1.5938,12,38,55.96,-41,11,48.7,7.0312,23.77200034,9.35104E-16,4.28424E+26,0.042842414
12,38,56.25,189.734375,-41,13,18.7,-40.77813889,1.5331,12,38,56.25,-41,13,18.7,6.9093,23.64704061,9.05596E-16,4.34715E+26,0.043471461
12,38,55.58,189.7315833,-41,14,48.7,-40.75313889,1.5674,12,38,55.58,-41,14,48.7,6.8164,23.85661342,9.55448E-16,4.06492E+26,0.040649236
